#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:20:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d67d0f18712	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/623/A108&tab:{J/A+A/623/A108/tablea}&key:source=J/A+A/623/A108&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/623/A108/tablea
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=logA
#-out=e_logA
#-out=E_logA
#-out=Dist
#-out=e_Dist
#-out=E_Dist
#-out=AV
#-out=e_AV
#-out=E_AV
#-out=AGTO
#-out=e_AGTO
#-out=E_AGTO
#-out=Fe/H
#-out=r_Fe/H
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36230108
#Name: J/A+A/623/A108
#Title: Age of 269 GDR2 open clusters (Bossini+, 2019)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_623_A108_tablea:
#Name: J/A+A/623/A108/tablea
#Title: Summary of OCs parameters characterised in this study (tables A1-A3)
#Column	Cluster	(a20)	Cluster name	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F7.3)	Mean right ascension of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	logA	(F10.3)	Bayesian estimation of Age (in log t)	[ucd=time.age]
#Column	e_logA	(F10.3)	16th percentile confidence level of Age (in log t)	[ucd=stat.error]
#Column	E_logA	(F10.3)	84th percentile confidence level of Age (in log t)	[ucd=stat.error;stat.max]
#Column	Dist	(F10.3)	Bayesian estimation of distant modulus	[ucd=phot.mag.distMod]
#Column	e_Dist	(F10.3)	16th percentile confidence level of distance modulus	[ucd=stat.error]
#Column	E_Dist	(F10.3)	84th percentile confidence level of distance modulus	[ucd=stat.error;stat.max]
#Column	AV	(F10.3)	Bayesian estimation of extinction in V band	[ucd=phys.absorption;em.opt.V]
#Column	e_AV	(F10.3)	16th percentile confidence level of extinction in V band	[ucd=stat.error]
#Column	E_AV	(F10.3)	84th percentile confidence level of extinction in V band	[ucd=stat.error;stat.max]
#Column	AGTO	(F10.3)	Extinction in G band (GaiaDR2 Evans et al., 2018A&A...616A...4E, Cat. I/345) at the turn off of the cluster	[ucd=phys.absorption;em.opt.V]
#Column	e_AGTO	(F10.3)	16th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error]
#Column	E_AGTO	(F10.3)	84th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error;stat.max]
#Column	Fe/H	(F10.3)	Cluster metallicity assumed (in dex)	[ucd=phys.abund.Z]
#Column	r_Fe/H	(A10)	Reference for the metallicity assumed (1)	[ucd=meta.ref]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Cluster	RA_ICRS	DE_ICRS	logA	e_logA	E_logA	Dist	e_Dist	E_Dist	AV	e_AV	E_AV	AGTO	e_AGTO	E_AGTO	Fe/H	r_Fe/H	SimbadName	_RA.icrs	_DE.icrs
# 	deg	deg	[yr]	[yr]	[yr]	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	 	deg	deg
#--------------------	-------	-------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------------------	--------	--------
Blanco1             	000.853	-29.958	     7.975	     7.998	     7.943	     6.876	     6.876	     6.876	     0.031	     0.031	     0.031	     0.030	     0.030	     0.030	     0.000	       HRS	Cl Blanco1            	000.8530	-29.9580
IC2391              	130.292	-52.991	     7.561	     7.583	     7.540	     5.908	     5.908	     5.908	     0.093	     0.093	     0.093	     0.091	     0.091	     0.091	     0.000	       HRS	IC2391                	130.2920	-52.9910
IC2602              	160.613	-64.426	     7.547	     7.563	     7.533	     5.914	     5.914	     5.914	     0.096	     0.096	     0.096	     0.094	     0.094	     0.094	     0.000	       HRS	IC2602                	160.6130	-64.4260
IC2714              	169.373	-62.719	     8.550	     8.550	     8.550	    10.711	    10.720	    10.704	     0.991	     1.000	     0.984	     0.967	     0.976	     0.960	     0.020	       HRS	IC2714                	169.3730	-62.7190
IC4665              	266.554	+05.615	     7.581	     7.636	     7.550	     7.450	     7.495	     7.395	     0.397	     0.430	     0.364	     0.388	     0.420	     0.355	    -0.030	       HRS	IC4665                	266.5540	+05.6150
IC4756              	279.649	+05.435	     8.987	     8.992	     8.973	     8.401	     8.401	     8.401	     0.397	     0.397	     0.397	     0.388	     0.388	     0.388	     0.000	       HRS	IC4756                	279.6490	+05.4350
Melotte20           	051.617	+48.975	     7.938	     7.944	     7.933	     5.824	     5.842	     5.804	     0.055	     0.073	     0.038	     0.054	     0.071	     0.037	     0.140	       HRS	Cl Melotte20          	051.6170	+48.9750
Melotte22           	056.601	+24.114	     7.937	     7.966	     7.925	     5.667	     5.667	     5.667	     0.140	     0.140	     0.140	     0.137	     0.137	     0.137	     0.000	       HRS	Cl Melotte22          	056.6010	+24.1140
Melotte71           	114.383	-12.065	     9.112	     9.131	     9.081	    11.548	    11.560	    11.532	     0.483	     0.501	     0.465	     0.471	     0.489	     0.454	    -0.270	       HRS	Cl Melotte71          	114.3830	-12.0650
NGC188             	011.798	+85.244	     9.877	     9.878	     9.876	    11.114	    11.130	    11.098	     0.079	     0.090	     0.068	     0.077	     0.088	     0.066	     0.110	       HRS	NGC188               	011.7980	+85.2440
NGC752             	029.223	+37.794	     9.170	     9.172	     9.169	     8.091	     8.111	     8.072	     0.157	     0.171	     0.142	     0.153	     0.167	     0.139	    -0.030	       HRS	NGC752               	029.2230	+37.7940
NGC1039             	040.531	+42.722	     8.101	     8.207	     8.078	     8.552	     8.552	     8.552	     0.239	     0.239	     0.239	     0.233	     0.233	     0.233	     0.000	       HRS	NGC1039               	040.5310	+42.7220
NGC1545             	065.202	+50.221	     8.019	     8.033	     7.999	     9.222	     9.247	     9.197	     0.917	     0.941	     0.895	     0.895	     0.919	     0.874	    -0.060	       HRS	NGC1545               	065.2020	+50.2210
NGC1662             	072.198	+10.882	     8.957	     8.982	     8.931	     7.840	     7.868	     7.810	     0.615	     0.641	     0.592	     0.600	     0.626	     0.578	    -0.110	       HRS	NGC1662               	072.1980	+10.8820
NGC1901             	079.561	-68.294	     8.918	     8.948	     8.891	     8.059	     8.087	     8.032	     0.146	     0.168	     0.123	     0.143	     0.164	     0.120	    -0.080	       HRS	NGC1901               	079.5610	-68.2940
NGC1912             	082.167	+35.824	     8.706	     8.722	     8.693	    10.079	    10.097	    10.061	     0.642	     0.657	     0.626	     0.627	     0.641	     0.611	    -0.100	       HRS	NGC1912               	082.1670	+35.8240
NGC2168             	092.272	+24.336	     8.605	     8.607	     8.604	     9.329	     9.343	     9.321	     0.467	     0.473	     0.458	     0.456	     0.462	     0.447	    -0.210	       LRS	NGC2168               	092.2720	+24.3360
NGC2251             	098.680	+08.337	     8.489	     8.535	     8.470	    10.713	    10.738	    10.687	     0.717	     0.742	     0.692	     0.700	     0.724	     0.675	    -0.090	       HRS	NGC2251               	098.6800	+08.3370
NGC2287             	101.499	-20.716	     8.486	     8.503	     8.351	     9.085	     9.098	     9.069	     0.059	     0.069	     0.052	     0.058	     0.067	     0.051	    -0.110	       HRS	NGC2287               	101.4990	-20.7160
NGC2420             	114.602	+21.575	     9.271	     9.276	     9.219	    12.049	    12.076	    12.021	     0.187	     0.216	     0.168	     0.183	     0.211	     0.164	    -0.050	       HRS	NGC2420               	114.6020	+21.5750
NGC2423             	114.299	-13.863	     8.991	     8.992	     8.990	     9.843	     9.857	     9.830	     0.291	     0.303	     0.277	     0.284	     0.296	     0.270	     0.080	       HRS	NGC2423               	114.2990	-13.8630
NGC2425             	114.577	-14.885	     9.333	     9.334	     9.332	    12.644	    12.667	    12.620	     0.879	     0.895	     0.863	     0.858	     0.874	     0.842	    -0.150	       LRS	NGC2425               	114.5770	-14.8850
NGC2447             	116.141	-23.853	     8.747	     8.753	     8.742	    10.088	    10.088	    10.088	     0.105	     0.105	     0.105	     0.102	     0.102	     0.102	     0.000	       HRS	NGC2447               	116.1410	-23.8530
NGC2451A            	115.736	-38.264	     7.647	     7.663	     7.629	     6.433	     6.433	     6.433	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	       GES	NGC2451A              	115.7360	-38.2640
NGC2451B            	116.128	-37.954	     7.592	     7.604	     7.576	     7.602	     7.631	     7.573	     0.208	     0.232	     0.183	     0.203	     0.226	     0.179	     0.000	       GES	NGC2451B              	116.1280	-37.9540
NGC2482             	118.787	-24.263	     8.550	     8.615	     8.532	    10.572	    10.601	    10.545	     0.359	     0.381	     0.334	     0.350	     0.372	     0.326	    -0.070	       HRS	NGC2482               	118.7870	-24.2630
NGC2516             	119.527	-60.800	     8.400	     8.405	     8.394	     8.091	     8.091	     8.091	     0.220	     0.220	     0.220	     0.215	     0.215	     0.215	     0.000	       HRS	NGC2516               	119.5270	-60.8000
NGC2527             	121.246	-28.122	     8.919	     8.943	     8.909	     8.787	     8.808	     8.766	     0.195	     0.212	     0.178	     0.190	     0.207	     0.174	    -0.100	       HRS	NGC2527               	121.2460	-28.1220
NGC2547             	122.525	-49.198	     7.432	     7.449	     7.414	     7.980	     7.980	     7.980	     0.124	     0.124	     0.124	     0.121	     0.121	     0.121	     0.000	       GES	NGC2547               	122.5250	-49.1980
NGC2567             	124.645	-30.631	     8.542	     8.586	     8.505	    11.269	    11.294	    11.246	     0.468	     0.492	     0.446	     0.457	     0.480	     0.435	    -0.040	       HRS	NGC2567               	124.6450	-30.6310
NGC2632             	130.054	+19.621	     8.875	     8.877	     8.871	     6.350	     6.350	     6.350	     0.084	     0.084	     0.084	     0.082	     0.082	     0.082	     0.070	       HRS	NGC2632               	130.0540	+19.6210
NGC2682             	132.846	+11.814	     9.561	     9.563	     9.559	     9.726	     9.726	     9.726	     0.115	     0.115	     0.115	     0.112	     0.112	     0.112	     0.000	       HRS	NGC2682               	132.8460	+11.8140
NGC3532             	166.417	-58.707	     8.601	     8.607	     8.597	     8.430	     8.430	     8.430	     0.068	     0.068	     0.068	     0.066	     0.066	     0.066	     0.000	       HRS	NGC3532               	166.4170	-58.7070
NGC4349             	186.048	-61.866	     8.451	     8.493	     8.404	    11.492	    11.508	    11.476	     1.161	     1.176	     1.146	     1.133	     1.148	     1.119	    -0.070	       HRS	NGC4349               	186.0480	-61.8660
NGC5822             	226.051	-54.366	     8.950	     8.951	     8.950	     9.537	     9.551	     9.522	     0.349	     0.360	     0.339	     0.341	     0.351	     0.331	     0.080	       HRS	NGC5822               	226.0510	-54.3660
NGC6005             	238.955	-57.439	     8.988	     8.990	     8.985	    12.073	    12.092	    12.054	     1.361	     1.375	     1.347	     1.328	     1.342	     1.315	     0.160	       GES	NGC6005               	238.9550	-57.4390
NGC6087             	244.721	-57.916	     8.046	     8.062	     8.019	     9.942	     9.961	     9.921	     0.453	     0.472	     0.435	     0.442	     0.461	     0.425	     0.210	       LRS	NGC6087               	244.7210	-57.9160
NGC6192             	250.077	-43.355	     8.251	     8.252	     8.242	    11.219	    11.237	    11.197	     1.731	     1.744	     1.715	     1.690	     1.702	     1.674	     0.120	       HRS	NGC6192               	250.0770	-43.3550
NGC6475             	268.447	-34.841	     8.477	     8.478	     8.477	     7.234	     7.234	     7.234	     0.152	     0.152	     0.152	     0.148	     0.148	     0.148	     0.070	       HRS	NGC6475               	268.4470	-34.8410
