#underscore is added to cluster name for parsing
Cluster DM log(age) [Fe/H] E(B−V) Memb
Hyades 3.389 8.90 0.13 0.001 518
Coma_Ber 4.669 8.81 0.00 0.000 142
Pleiades 5.667 8.04 -0.01 0.045 1323
IC_2391 5.908 7.70 -0.01 0.030 328
IC_2602 5.914 7.60 -0.02 0.031 490
alpha_Per 6.214 7.85 0.14 0.090 745
Praesepe 6.350 8.85 0.16 0.027 949
NGC_2451A 6.433 7.78 -0.08 0.000 397
Blanco_1 6.876 8.06 0.03 0.010 493
NGC_6475 7.234 8.54 0.02 0.049 952
NGC_7092 7.390 8.54 0.00 0.010 255
NGC_6774 7.455 9.30 0.16 0.080 154
NGC_2232 7.575 7.70 0.11 0.031 242
NGC_2547 7.980 7.60 -0.14 0.040 318
NGC_2516 8.091 8.48 0.05 0.071 1591
Trumpler_10 8.223 7.78 -0.12 0.056 400
NGC_752 8.264 9.15 -0.03 0.040 337
NGC_6405 8.320 7.90 0.07 0.139 538
IC_4756 8.401 8.98 0.02 0.128 508
NGC_3532 8.430 8.60 0.00 0.022 1702
NGC_2422 8.436 8.11 0.09 0.090 564
NGC_1039 8.552 8.40 0.02 0.077 501
NGC_6281 8.638 8.48 0.06 0.130 584
NGC_6793 8.894 8.78 0.272 266
NGC_2548 9.451 8.74 0.08 0.020 366
NGC_6025 9.513 8.18 0.170 443
NGC_2682 9.726 9.54 0.03 0.037 1324
IC_4651 9.889 9.30 0.12 0.040 885
NGC_2323 10.010 8.30 0.105 679
NGC_2447 10.088 8.74 -0.05 0.034 995
NGC_2360 10.229 8.98 -0.03 0.090 813
NGC_188 11.490 9.74 0.11 0.085 898
